Timestamp,DayOfWeek,Category,Sales(USD),UnitsSold,ActivePromotion,TotalSales(USD),TotalUnitsSold,AverageSellingPrice(ASP)
2024-04-01,Monday,AirSolutions,23068.17,51,None,307224.97000000003,564,544.73
2024-04-01,Monday,Audio,12913.15,108,None,307224.97000000003,564,544.73
2024-04-01,Monday,HomeAppliances,74672.29,136,None,307224.97000000003,564,544.73
2024-04-01,Monday,IT,38185.46,45,None,307224.97000000003,564,544.73
2024-04-01,Monday,Mobile,63025.48,97,None,307224.97000000003,564,544.73
2024-04-01,Monday,TVs,95360.42,127,None,307224.97000000003,564,544.73
2024-04-02,Tuesday,AirSolutions,21905.44,49,None,282590.07,542,521.38
2024-04-02,Tuesday,Audio,15291.59,127,None,282590.07,542,521.38
2024-04-02,Tuesday,HomeAppliances,70219.24,128,None,282590.07,542,521.38
2024-04-02,Tuesday,IT,44040.35,52,None,282590.07,542,521.38
2024-04-02,Tuesday,Mobile,57331.4,88,None,282590.07,542,521.38
2024-04-02,Tuesday,TVs,73802.05,98,None,282590.07,542,521.38
2024-04-03,Wednesday,AirSolutions,27775.83,62,None,359572.28,690,521.12
2024-04-03,Wednesday,Audio,18598.3,155,None,359572.28,690,521.12
2024-04-03,Wednesday,HomeAppliances,99657.3,181,None,359572.28,690,521.12
2024-04-03,Wednesday,IT,44493.45,52,None,359572.28,690,521.12
2024-04-03,Wednesday,Mobile,73616.2,113,None,359572.28,690,521.12
2024-04-03,Wednesday,TVs,95431.2,127,None,359572.28,690,521.12
2024-04-04,Thursday,AirSolutions,29769.93,66,None,368578.74,682,540.44
2024-04-04,Thursday,Audio,15823.41,132,None,368578.74,682,540.44
2024-04-04,Thursday,HomeAppliances,93804.31,171,None,368578.74,682,540.44
2024-04-04,Thursday,IT,51630.58,61,None,368578.74,682,540.44
2024-04-04,Thursday,Mobile,76690.18,118,None,368578.74,682,540.44
2024-04-04,Thursday,TVs,100860.33,134,None,368578.74,682,540.44
2024-04-05,Friday,AirSolutions,30734.04,68,None,417030.58999999997,760,548.72
2024-04-05,Friday,Audio,17093.16,142,None,417030.58999999997,760,548.72
2024-04-05,Friday,HomeAppliances,96028.51,175,None,417030.58999999997,760,548.72
2024-04-05,Friday,IT,55498.02,65,None,417030.58999999997,760,548.72
2024-04-05,Friday,Mobile,98931.29,152,None,417030.58999999997,760,548.72
2024-04-05,Friday,TVs,118745.57,158,None,417030.58999999997,760,548.72
2024-04-06,Saturday,AirSolutions,33626.37,75,None,392075.67,726,540.05
2024-04-06,Saturday,Audio,17091.79,142,None,392075.67,726,540.05
2024-04-06,Saturday,HomeAppliances,94664.35,172,None,392075.67,726,540.05
2024-04-06,Saturday,IT,51752.83,61,None,392075.67,726,540.05
2024-04-06,Saturday,Mobile,75903.9,117,None,392075.67,726,540.05
2024-04-06,Saturday,TVs,119036.43,159,None,392075.67,726,540.05
2024-04-07,Sunday,AirSolutions,19908.27,44,None,269659.70999999996,521,517.58
2024-04-07,Sunday,Audio,14741.51,123,None,269659.70999999996,521,517.58
2024-04-07,Sunday,HomeAppliances,70163.57,128,None,269659.70999999996,521,517.58
2024-04-07,Sunday,IT,33500.74,39,None,269659.70999999996,521,517.58
2024-04-07,Sunday,Mobile,57672.58,89,None,269659.70999999996,521,517.58
2024-04-07,Sunday,TVs,73673.04,98,None,269659.70999999996,521,517.58
2024-04-08,Monday,AirSolutions,23284.62,52,None,294946.54000000004,556,530.48
2024-04-08,Monday,Audio,14452.95,120,None,294946.54000000004,556,530.48
2024-04-08,Monday,HomeAppliances,73648.78,134,None,294946.54000000004,556,530.48
2024-04-08,Monday,IT,36626.12,43,None,294946.54000000004,556,530.48
2024-04-08,Monday,Mobile,55907.4,86,None,294946.54000000004,556,530.48
2024-04-08,Monday,TVs,91026.67,121,None,294946.54000000004,556,530.48
2024-04-09,Tuesday,AirSolutions,22145.84,49,None,263510.14999999997,496,531.27
2024-04-09,Tuesday,Audio,12501.79,104,None,263510.14999999997,496,531.27
2024-04-09,Tuesday,HomeAppliances,67480.65,123,None,263510.14999999997,496,531.27
2024-04-09,Tuesday,IT,36081.27,42,None,263510.14999999997,496,531.27
2024-04-09,Tuesday,Mobile,51146.35,79,None,263510.14999999997,496,531.27
2024-04-09,Tuesday,TVs,74154.25,99,None,263510.14999999997,496,531.27
